SKU;SKU Pai;Imagem 1;Imagem 2;Imagem 3;Imagem 4;Imagem 5;Imagem 6;Imagem 7;Imagem 8;Imagem 9;Imagem 10;Canal
;544598;;;;;;;;;;;
544594;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/d6/8d/f0/2e34369ebb2f55cdf76abcb213.png;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/67/2b/f0/55de663cacca64d70353d5005b.png;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/7f/c9/c6/b6bf3d204a365f7be4909e34cc.png;;;;;;;;Ambiente Demonstrativo
544590;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/38/c9/39/f58e1221b55353bcd327a5b17c.png;;;;;;;;;;Ambiente Demonstrativo
;544590;;;;;;;;;;;
;544590;;;;;;;;;;;
;544590;;;;;;;;;;;
;544590;;;;;;;;;;;
;544590;;;;;;;;;;;
;544590;;;;;;;;;;;
544589;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/80/98/ac/6b35173f3a1d4139f0fb1fb5f2.png;;;;;;;;;;Ambiente Demonstrativo
544589-PP;544589;;;;;;;;;;;
544589-P;544589;;;;;;;;;;;
544589-M;544589;;;;;;;;;;;
544589-G;544589;;;;;;;;;;;
544589-GG;544589;;;;;;;;;;;
544589-XG;544589;;;;;;;;;;;
544588;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/45/19/31/ed91baeab8430d34c601f95f7d.png;;;;;;;;;;Ambiente Demonstrativo
;544588;;;;;;;;;;;
;544588;;;;;;;;;;;
;544588;;;;;;;;;;;
;544588;;;;;;;;;;;
;544588;;;;;;;;;;;
;544588;;;;;;;;;;;
544587;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/c0/ab/96/8b2a342bc2d3b704abe8b3f940.png;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/78/d2/24/c97148818d506e330e7b5a12be.png;;;;;;;;;Ambiente Demonstrativo
;544587;;;;;;;;;;;
;544587;;;;;;;;;;;
;544587;;;;;;;;;;;
544586;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/fa/93/e4/58bd43e3d73da5b7b8ec666736.png;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/53/05/4c/ceab72bc6e9954e0cd7a956682.png;;;;;;;;;Ambiente Demonstrativo
;544586;;;;;;;;;;;
;544586;;;;;;;;;;;
;544586;;;;;;;;;;;
544585;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/c0/94/25/f05b115ac9ff42a965cca709cb.png;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/60/61/49/c5fd1e54527b53f139800d3960.png;;;;;;;;;Ambiente Demonstrativo
